<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.13	04:00:00	1.07605	1.07683	1.07592	1.07676	2447	0	0
2023.06.13	05:00:00	1.07676	1.07757	1.07660	1.07742	1667	0	0
2023.06.13	06:00:00	1.07743	1.07801	1.07741	1.07790	1648	0	0
2023.06.13	07:00:00	1.07790	1.07830	1.07762	1.07821	1147	0	0
2023.06.13	08:00:00	1.07820	1.07961	1.07814	1.07828	2711	0	0
2023.06.13	09:00:00	1.07829	1.07979	1.07816	1.07929	4072	0	0
2023.06.13	10:00:00	1.07926	1.08074	1.07925	1.07996	4557	0	0
2023.06.13	11:00:00	1.07996	1.08084	1.07941	1.08076	3413	0	0
2023.06.13	12:00:00	1.08075	1.08104	1.08007	1.08057	3377	0	0
2023.06.13	13:00:00	1.08057	1.08067	1.07950	1.07985	2572	0	0
2023.06.13	14:00:00	1.07985	1.07989	1.07918	1.07942	2697	0	0
2023.06.13	15:00:00	1.07942	1.08235	1.07802	1.08139	8856	0	0
2023.06.13	16:00:00	1.08141	1.08179	1.07921	1.07940	7679	0	0
2023.06.13	17:00:00	1.07941	1.08077	1.07783	1.08020	6352	0	0
2023.06.13	18:00:00	1.08020	1.08089	1.07860	1.07911	4322	0	0
2023.06.13	19:00:00	1.07911	1.08034	1.07902	1.08023	2880	0	0
2023.06.13	20:00:00	1.08023	1.08042	1.07867	1.07890	2310	0	0
2023.06.13	21:00:00	1.07889	1.07908	1.07829	1.07901	2449	0	0
2023.06.13	22:00:00	1.07901	1.07957	1.07846	1.07917	1880	0	0
2023.06.13	23:00:00	1.07917	1.07932	1.07906	1.07923	420	0	0
2023.06.14	00:00:00	1.07924	1.07930	1.07875	1.07886	367	0	15
2023.06.14	01:00:00	1.07885	1.07923	1.07883	1.07915	418	0	0
2023.06.14	02:00:00	1.07915	1.07919	1.07882	1.07896	559	0	0
2023.06.14	03:00:00	1.07897	1.07929	1.07857	1.07901	1607	0	0
2023.06.14	04:00:00	1.07902	1.07950	1.07882	1.07938	1617	0	0
2023.06.14	05:00:00	1.07939	1.07960	1.07903	1.07960	1417	0	0
2023.06.14	06:00:00	1.07959	1.07960	1.07886	1.07899	1055	0	0
2023.06.14	07:00:00	1.07900	1.07920	1.07847	1.07895	930	0	0
2023.06.14	08:00:00	1.07896	1.07904	1.07740	1.07761	1815	0	0
2023.06.14	09:00:00	1.07764	1.07875	1.07764	1.07854	2436	0	0
2023.06.14	10:00:00	1.07858	1.07968	1.07854	1.07897	3664	0	0
2023.06.14	11:00:00	1.07896	1.08046	1.07858	1.08022	2466	0	0
2023.06.14	12:00:00	1.08020	1.08098	1.07967	1.08045	2515	0	0
2023.06.14	13:00:00	1.08044	1.08098	1.08022	1.08065	2228	0	0
2023.06.14	14:00:00	1.08066	1.08078	1.08017	1.08033	2370	0	0
2023.06.14	15:00:00	1.08033	1.08333	1.08032	1.08312	5052	0	0
2023.06.14	16:00:00	1.08311	1.08450	1.08273	1.08447	4647	0	0
2023.06.14	17:00:00	1.08447	1.08562	1.08414	1.08558	3882	0	0
2023.06.14	18:00:00	1.08556	1.08580	1.08482	1.08578	2737	0	0
2023.06.14	19:00:00	1.08578	1.08641	1.08551	1.08622	2396	0	0
2023.06.14	20:00:00	1.08622	1.08628	1.08526	1.08547	2153	0	0
2023.06.14	21:00:00	1.08540	1.08544	1.08014	1.08342	16071	0	0
2023.06.14	22:00:00	1.08343	1.08441	1.08210	1.08267	7025	0	0
2023.06.14	23:00:00	1.08266	1.08353	1.08248	1.08312	816	0	0
2023.06.15	00:00:00	1.08302	1.08321	1.08222	1.08299	255	0	19
2023.06.15	01:00:00	1.08300	1.08353	1.08297	1.08326	306	0	0
2023.06.15	02:00:00	1.08325	1.08429	1.08319	1.08428	837	0	0
2023.06.15	03:00:00	1.08428	1.08445	1.08370	1.08382	1349	0	0
2023.06.15	04:00:00	1.08382	1.08382	1.08101	1.08108	2854	0	0
2023.06.15	05:00:00	1.08107	1.08158	1.08079	1.08133	2326	0	0
2023.06.15	06:00:00	1.08134	1.08157	1.08107	1.08133	1373	0	0
2023.06.15	07:00:00	1.08134	1.08150	1.08100	1.08116	1310	0	0
2023.06.15	08:00:00	1.08115	1.08234	1.08057	1.08186	2836	0	0
2023.06.15	09:00:00	1.08185	1.08206	1.08038	1.08105	3070	0	0
2023.06.15	10:00:00	1.08107	1.08287	1.08057	1.08268	3765	0	0
2023.06.15	11:00:00	1.08269	1.08373	1.08244	1.08329	2616	0	0
2023.06.15	12:00:00	1.08328	1.08475	1.08312	1.08473	2706	0	0
2023.06.15	13:00:00	1.08474	1.08486	1.08345	1.08421	3021	0	0
2023.06.15	14:00:00	1.08422	1.08433	1.08178	1.08178	3025	0	0
2023.06.15	15:00:00	1.08177	1.08811	1.08144	1.08645	8630	0	0
2023.06.15	16:00:00	1.08642	1.09007	1.08586	1.08992	7776	0	0
2023.06.15	17:00:00	1.08990	1.09213	1.08989	1.09105	5747	0	0
2023.06.15	18:00:00	1.09103	1.09355	1.09099	1.09327	4028	0	0
2023.06.15	19:00:00	1.09327	1.09450	1.09322	1.09439	2992	0	0
2023.06.15	20:00:00	1.09438	1.09499	1.09393	1.09429	1959	0	0
2023.06.15	21:00:00	1.09429	1.09511	1.09418	1.09502	1664	0	0
2023.06.15	22:00:00	1.09501	1.09526	1.09452	1.09476	2072	0	0
2023.06.15	23:00:00	1.09476	1.09492	1.09456	1.09456	406	0	0
2023.06.16	00:00:00	1.09449	1.09449	1.09410	1.09411	55	0	15
2023.06.16	01:00:00	1.09413	1.09493	1.09413	1.09490	605	0	0
2023.06.16	02:00:00	1.09491	1.09513	1.09452	1.09456	1018	0	0
2023.06.16	03:00:00	1.09456	1.09509	1.09400	1.09420	1513	0	0
2023.06.16	04:00:00	1.09419	1.09484	1.09399	1.09435	1926	0	0
2023.06.16	05:00:00	1.09434	1.09457	1.09355	1.09364	2462	0	0
2023.06.16	06:00:00	1.09365	1.09424	1.09365	1.09381	1696	0	0
2023.06.16	07:00:00	1.09382	1.09428	1.09368	1.09389	1218	0	0
2023.06.16	08:00:00	1.09388	1.09451	1.09376	1.09398	1670	0	0
2023.06.16	09:00:00	1.09399	1.09622	1.09393	1.09473	3853	0	0
2023.06.16	10:00:00	1.09472	1.09522	1.09340	1.09425	3964	0	0
2023.06.16	11:00:00	1.09426	1.09535	1.09382	1.09505	3241	0	0
2023.06.16	12:00:00	1.09505	1.09512	1.09395	1.09493	2533	0	0
2023.06.16	13:00:00	1.09493	1.09499	1.09430	1.09443	2162	0	0
2023.06.16	14:00:00	1.09443	1.09655	1.09443	1.09603	3091	0	0
2023.06.16	15:00:00	1.09606	1.09705	1.09475	1.09509	4033	0	0
2023.06.16	16:00:00	1.09509	1.09582	1.09425	1.09531	5149	0	0
2023.06.16	17:00:00	1.09534	1.09670	1.09178	1.09251	8747	0	0
2023.06.16	18:00:00	1.09251	1.09316	1.09217	1.09241	4818	0	0
2023.06.16	19:00:00	1.09240	1.09339	1.09240	1.09339	2479	0	0
2023.06.16	20:00:00	1.09338	1.09396	1.09321	1.09393	1705	0	0
2023.06.16	21:00:00	1.09393	1.09454	1.09372	1.09444	2232	0	0
2023.06.16	22:00:00	1.09444	1.09445	1.09347	1.09352	1819	0	0
2023.06.16	23:00:00	1.09352	1.09412	1.09348	1.09411	550	0	0
2023.06.19	00:00:00	1.09316	1.09406	1.09291	1.09385	473	0	21
2023.06.19	01:00:00	1.09388	1.09430	1.09372	1.09429	530	0	0
2023.06.19	02:00:00	1.09429	1.09429	1.09386	1.09398	1094	0	0
2023.06.19	03:00:00	1.09398	1.09462	1.09347	1.09367	1793	0	0
2023.06.19	04:00:00	1.09366	1.09405	1.09335	1.09366	2218	0	0
2023.06.19	05:00:00	1.09367	1.09408	1.09362	1.09363	1481	0	0
2023.06.19	06:00:00	1.09361	1.09379	1.09338	1.09370	1467	0	0
2023.06.19	07:00:00	1.09369	1.09370	1.09322	1.09346	1453	0	0
2023.06.19	08:00:00	1.09347	1.09412	1.09318	1.09402	2037	0	0
2023.06.19	09:00:00	1.09401	1.09401	1.09277	1.09295	2965	0	0
2023.06.19	10:00:00	1.09295	1.09376	1.09251	1.09293	4009	0	0
2023.06.19	11:00:00	1.09293	1.09386	1.09269	1.09295	3073	0	0
2023.06.19	12:00:00	1.09296	1.09296	1.09101	1.09108	2695	0	0
2023.06.19	13:00:00	1.09108	1.09188	1.09071	1.09188	2255	0	0
2023.06.19	14:00:00	1.09194	1.09272	1.09169	1.09212	2060	0	0
2023.06.19	15:00:00	1.09212	1.09294	1.09196	1.09258	2556	0	0
2023.06.19	16:00:00	1.09259	1.09260	1.09170	1.09183	2668	0	0
2023.06.19	17:00:00	1.09183	1.09262	1.09123	1.09227	2878	0	0
2023.06.19	18:00:00	1.09228	1.09289	1.09215	1.09220	1764	0	0
2023.06.19	19:00:00	1.09221	1.09264	1.09159	1.09161	1218	0	0
2023.06.19	20:00:00	1.09162	1.09191	1.09159	1.09176	543	0	0
2023.06.19	21:00:00	1.09175	1.09212	1.09161	1.09193	441	0	0
2023.06.19	22:00:00	1.09192	1.09207	1.09184	1.09184	594	0	0
2023.06.19	23:00:00	1.09184	1.09225	1.09174	1.09224	376	0	0
2023.06.20	00:00:00	1.09218	1.09218	1.09149	1.09212	221	0	18
2023.06.20	01:00:00	1.09212	1.09262	1.09199	1.09229	378	0	0
2023.06.20	02:00:00	1.09229	1.09247	1.09189	1.09235	828	0	0
2023.06.20	03:00:00	1.09237	1.09261	1.09169	1.09202	2185	0	0
2023.06.20	04:00:00	1.09199	1.09222	1.09110	1.09133	2690	0	0
2023.06.20	05:00:00	1.09132	1.09238	1.09108	1.09225	2956	0	0
2023.06.20	06:00:00	1.09224	1.09238	1.09187	1.09197	1682	0	0
2023.06.20	07:00:00	1.09198	1.09204	1.09129	1.09137	1466	0	0
2023.06.20	08:00:00	1.09136	1.09262	1.09119	1.09262	2603	0	0
2023.06.20	09:00:00	1.09261	1.09323	1.09197	1.09216	3445	0	0
2023.06.20	10:00:00	1.09214	1.09461	1.09152	1.09438	4600	0	0
2023.06.20	11:00:00	1.09437	1.09448	1.09316	1.09377	3628	0	0
2023.06.20	12:00:00	1.09378	1.09399	1.09227	1.09250	3057	0	0
2023.06.20	13:00:00	1.09249	1.09343	1.09246	1.09284	2836	0	0
2023.06.20	14:00:00	1.09283	1.09321	1.09220	1.09287	2719	0	0
2023.06.20	15:00:00	1.09288	1.09358	1.09121	1.09193	4664	0	0
2023.06.20	16:00:00	1.09193	1.09245	1.09063	1.09164	6206	0	0
2023.06.20	17:00:00	1.09164	1.09207	1.08922	1.09012	6557	0	0
2023.06.20	18:00:00	1.09012	1.09097	1.08997	1.08997	4486	0	0
2023.06.20	19:00:00	1.08997	1.09162	1.08955	1.09152	2863	0	0
2023.06.20	20:00:00	1.09151	1.09170	1.09120	1.09154	2557	0	0
2023.06.20	21:00:00	1.09156	1.09175	1.09115	1.09172	2230	0	0
2023.06.20	22:00:00	1.09171	1.09175	1.09097	1.09124	1633	0	0
2023.06.20	23:00:00	1.09124	1.09174	1.09122	1.09168	440	0	0
2023.06.21	00:00:00	1.09162	1.09209	1.09162	1.09169	194	0	6
2023.06.21	01:00:00	1.09170	1.09205	1.09169	1.09198	347	0	0
2023.06.21	02:00:00	1.09198	1.09225	1.09184	1.09199	887	0	0
2023.06.21	03:00:00	1.09198	1.09200	1.09147	1.09160	2017	0	0
2023.06.21	04:00:00	1.09159	1.09168	1.09119	1.09141	2316	0	0
2023.06.21	05:00:00	1.09141	1.09210	1.09119	1.09125	2156	0	0
2023.06.21	06:00:00	1.09125	1.09162	1.09123	1.09149	1523	0	0
2023.06.21	07:00:00	1.09150	1.09195	1.09139	1.09162	1539	0	0
2023.06.21	08:00:00	1.09162	1.09175	1.09103	1.09123	1902	0	0
2023.06.21	09:00:00	1.09120	1.09168	1.09057	1.09101	5161	0	0
2023.06.21	10:00:00	1.09102	1.09196	1.09090	1.09130	4334	0	0
2023.06.21	11:00:00	1.09128	1.09337	1.09093	1.09250	4206	0	0
2023.06.21	12:00:00	1.09249	1.09297	1.09165	1.09166	3006	0	0
2023.06.21	13:00:00	1.09165	1.09258	1.09136	1.09183	2936	0	0
2023.06.21	14:00:00	1.09185	1.09267	1.09164	1.09243	3189	0	0
2023.06.21	15:00:00	1.09242	1.09257	1.09085	1.09251	4902	0	0
2023.06.21	16:00:00	1.09251	1.09309	1.09106	1.09267	5712	0	0
2023.06.21	17:00:00	1.09265	1.09640	1.09230	1.09547	7084	0	0
2023.06.21	18:00:00	1.09546	1.09561	1.09433	1.09507	4724	0	0
2023.06.21	19:00:00	1.09506	1.09736	1.09496	1.09706	2953	0	0
2023.06.21	20:00:00	1.09704	1.09792	1.09671	1.09774	2579	0	0
2023.06.21	21:00:00	1.09774	1.09899	1.09763	1.09848	2711	0	0
2023.06.21	22:00:00	1.09847	1.09894	1.09816	1.09878	1607	0	0
2023.06.21	23:00:00	1.09878	1.09909	1.09852	1.09872	553	0	0
2023.06.22	00:00:00	1.09867	1.09867	1.09822	1.09826	842	0	10
2023.06.22	01:00:00	1.09825	1.09908	1.09824	1.09908	361	0	0
2023.06.22	02:00:00	1.09907	1.09924	1.09891	1.09915	804	0	0
2023.06.22	03:00:00	1.09916	1.09922	1.09867	1.09884	1726	0	0
2023.06.22	04:00:00	1.09882	1.09948	1.09870	1.09937	1552	0	0
2023.06.22	05:00:00	1.09936	1.09937	1.09883	1.09934	1385	0	0
